temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,surface_pressure,month,hour,heating_season,temp_x_wind,pm2_5
17.1,83,7.6,0.0,867.4,8,21,0,129.96,6.8
-10.6,66,3.0,0.0,876.5,11,6,1,-31.799999999999997,29.7
-2.5,92,3.7,0.0,880.4,9,3,0,-9.25,9.0
2.3,33,14.3,0.0,873.8,11,18,1,32.89,6.9
-16.9,64,0.7,0.0,866.1,12,12,1,-11.829999999999998,16.0
-7.3,61,7.4,0.0,876.9,3,10,1,-54.02,6.3
-1.4,50,12.5,0.5,865.0,10,8,0,-17.5,14.2
-9.0,75,7.9,0.0,877.4,3,12,1,-71.10000000000001,9.3
-6.4,70,4.2,0.0,871.0,11,8,1,-26.880000000000003,68.5
4.8,89,6.2,0.0,868.4,9,1,0,29.759999999999998,16.8
-31.1,85,0.4,0.0,870.1,12,7,1,-12.440000000000001,66.8
15.4,33,8.4,0.0,874.5,5,8,0,129.36,6.5
7.8,91,5.0,0.0,867.1,9,19,0,39.0,3.9
8.6,46,18.0,0.0,876.1,10,15,0,154.79999999999998,2.1
-9.4,63,14.4,0.0,870.9,2,15,1,-135.36,7.0
-22.6,76,1.1,0.0,870.8,1,4,1,-24.860000000000003,81.5
16.6,78,8.4,0.0,871.7,8,22,0,139.44000000000003,10.6
6.2,48,4.0,0.0,860.4,4,8,0,24.8,12.6
-26.2,65,10.4,0.0,882.1,12,7,1,-272.48,1.0
3.2,27,14.5,0.0,871.0,3,18,1,46.400000000000006,4.9
14.5,20,20.9,0.0,866.8,5,17,0,303.04999999999995,7.2
-23.7,88,8.8,0.0,875.9,12,10,1,-208.56,47.6
24.4,55,7.9,0.0,867.8,7,18,0,192.76,5.0
-2.1,55,5.5,0.0,870.3,3,19,1,-11.55,31.5
22.0,28,12.8,0.0,872.9,6,13,0,281.6,5.7
-18.5,90,10.8,0.0,864.5,3,6,1,-199.8,4.8
15.3,40,14.7,0.0,869.3,10,13,0,224.91,6.9
-11.3,57,1.8,0.0,873.7,12,15,1,-20.340000000000003,30.5
-16.3,65,4.3,0.0,879.6,1,16,1,-70.09,22.5
7.3,51,12.4,0.0,861.7,5,19,0,90.52,6.1
1.3,60,9.4,0.0,855.3,4,20,0,12.22,9.8
19.6,63,15.5,0.0,871.7,8,11,0,303.8,2.9
-3.1,61,6.7,0.0,868.7,11,2,1,-20.77,29.1
-2.0,70,7.2,0.0,860.8,2,17,1,-14.4,11.0
1.7,49,9.4,0.0,868.8,10,0,0,15.98,13.0
19.4,30,15.7,0.0,869.9,6,13,0,304.58,2.3
15.4,95,15.5,0.2,867.6,8,22,0,238.70000000000002,5.2
3.6,65,7.7,0.0,869.3,4,0,0,27.720000000000002,41.4
18.7,45,8.9,0.0,877.0,9,16,0,166.43,1.9
9.2,93,3.6,0.0,869.9,8,5,0,33.12,21.0
12.8,67,2.7,0.0,857.4,9,4,0,34.56,4.0
-17.3,72,3.7,0.0,874.9,3,8,1,-64.01,32.1
-16.7,61,13.0,0.0,860.2,1,4,1,-217.1,46.1
-18.2,77,11.2,0.0,878.0,12,14,1,-203.83999999999997,5.0
-20.5,72,6.5,0.0,876.5,1,1,1,-133.25,26.1
5.3,76,5.6,0.0,870.0,8,23,0,29.679999999999996,5.2
4.9,44,2.7,0.0,864.6,10,9,0,13.230000000000002,25.8
18.0,60,9.6,0.0,864.4,8,1,0,172.79999999999998,17.8
-21.2,81,2.9,0.0,862.0,2,1,1,-61.48,71.9
